stn       Nom                                  Parameter        Source de données                                  Longitude/Latitude       Coordonnées [km] Altitude [m]
ORO       Oron                                 fkl010h0         MeteoSchweiz                                       6d51'/46d34'             555505/158052    828
ORO       Oron                                 dkl010h0         MeteoSchweiz                                       6d51'/46d34'             555505/158052    828
BEH       Passo del Bernina                    fkl010h0         MeteoSchweiz                                       10d01'/46d25'            798422/143020    2260
BEH       Passo del Bernina                    dkl010h0         MeteoSchweiz                                       10d01'/46d25'            798422/143020    2260
PMA       Piz Martegnas                        fkl010h0         MeteoSchweiz                                       9d32'/46d35'             760261/160570    2670
PMA       Piz Martegnas                        dkl010h0         MeteoSchweiz                                       9d32'/46d35'             760261/160570    2670
PLF       Plaffeien                            fkl010h0         MeteoSchweiz                                       7d16'/46d45'             586828/177406    1042
PLF       Plaffeien                            dkl010h0         MeteoSchweiz                                       7d16'/46d45'             586828/177406    1042
QUI       Quinten                              fkl010h0         MeteoSchweiz                                       9d13'/47d08'             734848/221278    419
QUI       Quinten                              dkl010h0         MeteoSchweiz                                       9d13'/47d08'             734848/221278    419
ROE       Robièi                               fkl010h0         MeteoSchweiz                                       8d31'/46d27'             682587/144091    1898
ROE       Robièi                               dkl010h0         MeteoSchweiz                                       8d31'/46d27'             682587/144091    1898
RUE       Rünenberg                            fkl010h0         MeteoSchweiz                                       7d53'/47d26'             633252/253845    611
RUE       Rünenberg                            dkl010h0         MeteoSchweiz                                       7d53'/47d26'             633252/253845    611
HAI       Salen-Reutenen                       fkl010h0         MeteoSchweiz                                       9d01'/47d39'             719099/279047    718
HAI       Salen-Reutenen                       dkl010h0         MeteoSchweiz                                       9d01'/47d39'             719099/279047    718
SAG       Sattel, SZ                           fkl010h0         MeteoSchweiz                                       8d38'/47d05'             690999/215145    790
SAG       Sattel, SZ                           dkl010h0         MeteoSchweiz                                       8d38'/47d05'             690999/215145    790
SRS       Schiers                              fkl010h0         MeteoSchweiz                                       9d40'/46d59'             769617/205125    626
SRS       Schiers                              dkl010h0         MeteoSchweiz                                       9d40'/46d59'             769617/205125    626
SCM       Schmerikon                           fkl010h0         MeteoSchweiz                                       8d56'/47d13'             713725/231533    408
SCM       Schmerikon                           dkl010h0         MeteoSchweiz                                       8d56'/47d13'             713725/231533    408
SPF       Schüpfheim                           fkl010h0         MeteoSchweiz                                       8d01'/46d57'             643683/199710    744
SPF       Schüpfheim                           dkl010h0         MeteoSchweiz                                       8d01'/46d57'             643683/199710    744
SIA       Segl-Maria                           fkl010h0         MeteoSchweiz                                       9d46'/46d26'             778574/144976    1804
SIA       Segl-Maria                           dkl010h0         MeteoSchweiz                                       9d46'/46d26'             778574/144976    1804
SIM       Simplon-Dorf                         fkl010h0         MeteoSchweiz                                       8d03'/46d12'             647683/116340    1465
SIM       Simplon-Dorf                         dkl010h0         MeteoSchweiz                                       8d03'/46d12'             647683/116340    1465
PRE       St-Prex                              fkl010h0         MeteoSchweiz                                       6d27'/46d29'             523549/148525    425
PRE       St-Prex                              dkl010h0         MeteoSchweiz                                       6d27'/46d29'             523549/148525    425
