time,latitude,longitude,u10,v10,closest_lon,closest_lat,tpi_500,tpi_1000,tpi_2000
2020-02-08 12:00:00,48.0,6.5,0.14093682,2.8702002,6.499583333333334,47.83958333333334,207.50002,245.9285,266.68408
2020-02-08 18:00:00,48.0,6.5,-0.75708336,2.7182863,6.499583333333334,47.83958333333334,207.50002,245.9285,266.68408
2020-02-09 00:00:00,48.0,6.5,-0.3058915,3.5745277,6.499583333333334,47.83958333333334,207.50002,245.9285,266.68408
2020-02-09 06:00:00,48.0,6.5,1.1751,4.76989,6.499583333333334,47.83958333333334,207.50002,245.9285,266.68408
2020-02-09 12:00:00,48.0,6.5,2.5443845,6.4163895,6.499583333333334,47.83958333333334,207.50002,245.9285,266.68408
2020-02-09 18:00:00,48.0,6.5,4.590893,8.680519,6.499583333333334,47.83958333333334,207.50002,245.9285,266.68408
2020-02-10 00:00:00,48.0,6.5,5.6896367,10.048511,6.499583333333334,47.83958333333334,207.50002,245.9285,266.68408
2020-02-10 06:00:00,48.0,6.5,9.868179,4.5711746,6.499583333333334,47.83958333333334,207.50002,245.9285,266.68408
2020-02-10 12:00:00,48.0,6.5,7.9997044,3.152545,6.499583333333334,47.83958333333334,207.50002,245.9285,266.68408
2020-02-10 18:00:00,48.0,6.5,6.799726,5.01464,6.499583333333334,47.83958333333334,207.50002,245.9285,266.68408
2020-02-11 00:00:00,48.0,6.5,8.957941,2.9315794,6.499583333333334,47.83958333333334,207.50002,245.9285,266.68408
2020-02-11 06:00:00,48.0,6.5,6.651365,2.40295,6.499583333333334,47.83958333333334,207.50002,245.9285,266.68408
2020-02-11 12:00:00,48.0,6.5,5.3964057,3.6988208,6.499583333333334,47.83958333333334,207.50002,245.9285,266.68408
2020-02-11 18:00:00,48.0,6.5,5.494149,1.8582087,6.499583333333334,47.83958333333334,207.50002,245.9285,266.68408
2020-02-12 00:00:00,48.0,6.5,3.2093906,2.5218725,6.499583333333334,47.83958333333334,207.50002,245.9285,266.68408
2020-02-12 06:00:00,48.0,6.5,3.7382538,3.1318295,6.499583333333334,47.83958333333334,207.50002,245.9285,266.68408
2020-02-12 12:00:00,48.0,6.5,3.3813148,3.683476,6.499583333333334,47.83958333333334,207.50002,245.9285,266.68408
2020-02-12 18:00:00,48.0,6.5,2.5784202,2.5257087,6.499583333333334,47.83958333333334,207.50002,245.9285,266.68408
2020-02-13 00:00:00,48.0,6.5,-0.8399909,2.4136915,6.499583333333334,47.83958333333334,207.50002,245.9285,266.68408
2020-02-13 06:00:00,48.0,6.5,-0.93075293,3.1080449,6.499583333333334,47.83958333333334,207.50002,245.9285,266.68408
2020-02-13 12:00:00,48.0,6.5,2.5723112,7.1874676,6.499583333333334,47.83958333333334,207.50002,245.9285,266.68408
2020-02-13 18:00:00,48.0,6.5,5.906942,4.5803814,6.499583333333334,47.83958333333334,207.50002,245.9285,266.68408
2020-02-08 00:00:00,48.0,6.75,-1.1498036,2.2963035,6.749583333333334,47.83958333333334,228.92853,254.74997,251.0
2020-02-08 06:00:00,48.0,6.75,-0.8513362,1.858976,6.749583333333334,47.83958333333334,228.92853,254.74997,251.0
2020-02-08 12:00:00,48.0,6.75,0.29453406,2.282493,6.749583333333334,47.83958333333334,228.92853,254.74997,251.0
2020-02-08 18:00:00,48.0,6.75,0.18893597,3.0366914,6.749583333333334,47.83958333333334,228.92853,254.74997,251.0
2020-02-09 00:00:00,48.0,6.75,0.3285698,2.6768553,6.749583333333334,47.83958333333334,228.92853,254.74997,251.0
2020-02-09 06:00:00,48.0,6.75,1.7868707,3.5645535,6.749583333333334,47.83958333333334,228.92853,254.74997,251.0
2020-02-09 12:00:00,48.0,6.75,2.8917236,5.383683,6.749583333333334,47.83958333333334,228.92853,254.74997,251.0
2020-02-09 18:00:00,48.0,6.75,5.2846985,7.4061317,6.749583333333334,47.83958333333334,228.92853,254.74997,251.0
2020-02-10 00:00:00,48.0,6.75,6.2045364,8.876166,6.749583333333334,47.83958333333334,228.92853,254.74997,251.0
2020-02-10 06:00:00,48.0,6.75,10.09072,4.430002,6.749583333333334,47.83958333333334,228.92853,254.74997,251.0
2020-02-10 12:00:00,48.0,6.75,8.04334,2.771226,6.749583333333334,47.83958333333334,228.92853,254.74997,251.0
2020-02-10 18:00:00,48.0,6.75,7.3303347,4.3202868,6.749583333333334,47.83958333333334,228.92853,254.74997,251.0
2020-02-11 00:00:00,48.0,6.75,9.113284,2.5855536,6.749583333333334,47.83958333333334,228.92853,254.74997,251.0
2020-02-11 06:00:00,48.0,6.75,6.7971077,2.1229072,6.749583333333334,47.83958333333334,228.92853,254.74997,251.0
2020-02-11 12:00:00,48.0,6.75,5.530803,3.244614,6.749583333333334,47.83958333333334,228.92853,254.74997,251.0
2020-02-11 18:00:00,48.0,6.75,5.8126893,1.60195,6.749583333333334,47.83958333333334,228.92853,254.74997,251.0
2020-02-12 00:00:00,48.0,6.75,3.9913402,1.8213811,6.749583333333334,47.83958333333334,228.92853,254.74997,251.0
2020-02-12 06:00:00,48.0,6.75,4.3404245,2.551795,6.749583333333334,47.83958333333334,228.92853,254.74997,251.0
2020-02-12 12:00:00,48.0,6.75,3.8455973,3.1655881,6.749583333333334,47.83958333333334,228.92853,254.74997,251.0
2020-02-12 18:00:00,48.0,6.75,3.417096,1.9755967,6.749583333333334,47.83958333333334,228.92853,254.74997,251.0
2020-02-13 00:00:00,48.0,6.75,0.39489588,2.4006484,6.749583333333334,47.83958333333334,228.92853,254.74997,251.0
2020-02-13 06:00:00,48.0,6.75,-0.5755593,3.1824675,6.749583333333334,47.83958333333334,228.92853,254.74997,251.0
2020-02-13 12:00:00,48.0,6.75,1.7676711,6.088011,6.749583333333334,47.83958333333334,228.92853,254.74997,251.0
2020-02-13 18:00:00,48.0,6.75,6.603366,3.9965105,6.749583333333334,47.83958333333334,228.92853,254.74997,251.0
2020-02-08 00:00:00,48.0,7.0,0.33991504,1.5167863,6.999583333333334,47.83958333333334,341.0,372.4643,344.23636
2020-02-08 06:00:00,48.0,7.0,0.5170755,1.2912173,6.999583333333334,47.83958333333334,341.0,372.4643,344.23636
2020-02-08 12:00:00,48.0,7.0,0.40187758,2.0170279,6.999583333333334,47.83958333333334,341.0,372.4643,344.23636
2020-02-08 18:00:00,48.0,7.0,1.3889143,2.1374846,6.999583333333334,47.83958333333334,341.0,372.4643,344.23636
2020-02-09 00:00:00,48.0,7.0,1.0729928,2.020864,6.999583333333334,47.83958333333334,341.0,372.4643,344.23636
2020-02-09 06:00:00,48.0,7.0,1.8697784,2.431338,6.999583333333334,47.83958333333334,341.0,372.4643,344.23636
2020-02-09 12:00:00,48.0,7.0,2.5810382,5.110545,6.999583333333334,47.83958333333334,341.0,372.4643,344.23636
2020-02-09 18:00:00,48.0,7.0,5.2157545,6.73633,6.999583333333334,47.83958333333334,341.0,372.4643,344.23636
2020-02-10 00:00:00,48.0,7.0,6.0448303,8.517097,6.999583333333334,47.83958333333334,341.0,372.4643,344.23636
2020-02-10 06:00:00,48.0,7.0,9.114157,4.8558207,6.999583333333334,47.83958333333334,341.0,372.4643,344.23636
2020-02-10 12:00:00,48.0,7.0,7.545894,3.0305536,6.999583333333334,47.83958333333334,341.0,372.4643,344.23636
2020-02-10 18:00:00,48.0,7.0,6.4113693,4.3663206,6.999583333333334,47.83958333333334,341.0,372.4643,344.23636
2020-02-11 00:00:00,48.0,7.0,8.282462,3.1118813,6.999583333333334,47.83958333333334,341.0,372.4643,344.23636
2020-02-11 06:00:00,48.0,7.0,6.1748643,2.3753295,6.999583333333334,47.83958333333334,341.0,372.4643,344.23636
2020-02-11 12:00:00,48.0,7.0,4.76369,3.33745,6.999583333333334,47.83958333333334,341.0,372.4643,344.23636
2020-02-11 18:00:00,48.0,7.0,5.1729918,1.973295,6.999583333333334,47.83958333333334,341.0,372.4643,344.23636
2020-02-12 00:00:00,48.0,7.0,3.5602207,1.9357,6.999583333333334,47.83958333333334,341.0,372.4643,344.23636
2020-02-12 06:00:00,48.0,7.0,4.2068996,2.548726,6.999583333333334,47.83958333333334,341.0,372.4643,344.23636
2020-02-12 12:00:00,48.0,7.0,4.1754823,3.3712087,6.999583333333334,47.83958333333334,341.0,372.4643,344.23636
2020-02-12 18:00:00,48.0,7.0,3.2032816,1.9341656,6.999583333333334,47.83958333333334,341.0,372.4643,344.23636
2020-02-13 00:00:00,48.0,7.0,1.1096466,1.8505363,6.999583333333334,47.83958333333334,341.0,372.4643,344.23636
2020-02-13 06:00:00,48.0,7.0,0.43940416,1.9326311,6.999583333333334,47.83958333333334,341.0,372.4643,344.23636
2020-02-13 12:00:00,48.0,7.0,1.3295699,5.375243,6.999583333333334,47.83958333333334,341.0,372.4643,344.23636
2020-02-13 18:00:00,48.0,7.0,5.9627957,3.8844934,6.999583333333334,47.83958333333334,341.0,372.4643,344.23636
2020-02-08 00:00:00,48.0,7.25,1.3382971,0.77563107,7.249583333333334,47.83958333333334,94.07138,107.08928,112.188614
2020-02-08 06:00:00,48.0,7.25,1.4028777,0.6850966,7.249583333333334,47.83958333333334,94.07138,107.08928,112.188614
2020-02-08 12:00:00,48.0,7.25,0.32333353,1.7715105,7.249583333333334,47.83958333333334,94.07138,107.08928,112.188614
2020-02-08 18:00:00,48.0,7.25,2.0783565,1.4991398,7.249583333333334,47.83958333333334,94.07138,107.08928,112.188614
2020-02-09 00:00:00,48.0,7.25,1.5006213,1.4224156,7.249583333333334,47.83958333333334,94.07138,107.08928,112.188614
2020-02-09 06:00:00,48.0,7.25,1.6420007,1.4784242,7.249583333333334,47.83958333333334,94.07138,107.08928,112.188614
2020-02-09 12:00:00,48.0,7.25,2.0216303,4.9471226,7.249583333333334,47.83958333333334,94.07138,107.08928,112.188614
2020-02-09 18:00:00,48.0,7.25,4.621438,6.0949154,7.249583333333334,47.83958333333334,94.07138,107.08928,112.188614
2020-02-10 00:00:00,48.0,7.25,5.5020037,8.194088,7.249583333333334,47.83958333333334,94.07138,107.08928,112.188614
2020-02-10 06:00:00,48.0,7.25,7.7605815,5.555545,7.249583333333334,47.83958333333334,94.07138,107.08928,112.188614
2020-02-10 12:00:00,48.0,7.25,6.7133274,3.3190362,7.249583333333334,47.83958333333334,94.07138,107.08928,112.188614
2020-02-10 18:00:00,48.0,7.25,5.2454267,4.4837084,7.249583333333334,47.83958333333334,94.07138,107.08928,112.188614
2020-02-11 00:00:00,48.0,7.25,7.0065584,3.8752863,7.249583333333334,47.83958333333334,94.07138,107.08928,112.188614
2020-02-11 06:00:00,48.0,7.25,5.2122636,2.6292863,7.249583333333334,47.83958333333334,94.07138,107.08928,112.188614
2020-02-11 12:00:00,48.0,7.25,3.7687988,3.7517605,7.249583333333334,47.83958333333334,94.07138,107.08928,112.188614
2020-02-11 18:00:00,48.0,7.25,4.1685004,2.4075537,7.249583333333334,47.83958333333334,94.07138,107.08928,112.188614
2020-02-12 00:00:00,48.0,7.25,2.781762,2.1282778,7.249583333333334,47.83958333333334,94.07138,107.08928,112.188614
2020-02-12 06:00:00,48.0,7.25,3.807198,2.643864,7.249583333333334,47.83958333333334,94.07138,107.08928,112.188614
2020-02-12 12:00:00,48.0,7.25,3.9450865,3.5008726,7.249583333333334,47.83958333333334,94.07138,107.08928,112.188614
2020-02-12 18:00:00,48.0,7.25,2.4946399,2.0484846,7.249583333333334,47.83958333333334,94.07138,107.08928,112.188614
2020-02-13 00:00:00,48.0,7.25,1.3871689,1.3211397,7.249583333333334,47.83958333333334,94.07138,107.08928,112.188614
2020-02-13 06:00:00,48.0,7.25,1.1393188,0.9206397,7.249583333333334,47.83958333333334,94.07138,107.08928,112.188614
2020-02-13 12:00:00,48.0,7.25,1.0101575,4.9333124,7.249583333333334,47.83958333333334,94.07138,107.08928,112.188614
2020-02-13 18:00:00,48.0,7.25,4.9670315,3.6988208,7.249583333333334,47.83958333333334,94.07138,107.08928,112.188614
2020-02-08 00:00:00,48.0,7.5,-0.09905887,1.0948036,7.499583333333334,47.83958333333334,86.92856,99.60712,105.29772
2020-02-08 06:00:00,48.0,7.5,-0.19069356,1.1554155,7.499583333333334,47.83958333333334,86.92856,99.60712,105.29772
